21座桥; 评分: 暂无评分
演员工作室：小罗伯特·唐尼; 评分: 暂无评分
小丑与哈莉·奎恩：地下世界的情侣; 评分: 暂无评分
玻璃先生; 评分: 7.0
老家伙们; 评分: 暂无评分
兰心大剧院; 评分: 暂无评分
星际特工：千星之城; 评分: 8.3
流浪猫鲍勃; 评分: 8.8
疯狂大爆炸; 评分: 暂无评分
大会师; 评分: 暂无评分
熊出没的开垦地; 评分: 暂无评分
大侦探霍桑; 评分: 6.9
二十二; 评分: 9.2
澳门风云3; 评分: 6.9
哥斯拉大战机械哥斯拉; 评分: 7.4
狄仁杰之四大天王; 评分: 8.1
赤道2; 评分: 暂无评分
猎狐者; 评分: 暂无评分
甲铁城的卡巴内瑞 总集篇后篇 燃烧的生命; 评分: 暂无评分
疯狂的麦克斯4：狂暴之路; 评分: 8.8
终结者：创世纪; 评分: 8.9
名侦探柯南：唐红的恋歌; 评分: 6.6
僵尸先生; 评分: 7.4
摇滚学校; 评分: 7.3
末代皇帝; 评分: 8.8
多啦美与哆啦A梦族：机器人学校七不思议; 评分: 8.5
八个女人一台戏; 评分: 暂无评分
老爸的战争; 评分: 暂无评分
灵魂的救赎; 评分: 暂无评分
初恋这件小事; 评分: 8.8
精灵王座Ⅱ; 评分: 暂无评分
火影忍者真人版; 评分: 暂无评分
九层妖塔; 评分: 5.7
空天猎; 评分: 8.7
沉睡魔咒2：恶魔夫人; 评分: 暂无评分
致我们终将逝去的青春; 评分: 8.3
谁的青春不迷茫; 评分: 8.6
超体2; 评分: 暂无评分
黑衣人重启版2; 评分: 暂无评分
速度与激情4; 评分: 7.2
死亡通知单暗黑者：首部曲“双雄会”; 评分: 暂无评分
乐高大电影4D; 评分: 暂无评分
爱宠大机密2; 评分: 暂无评分
金陵十三钗; 评分: 8.2
神奇动物在哪里; 评分: 8.9
心理罪之城市之光; 评分: 8.8
机密复仇者：黑寡妇与惩罚者; 评分: 5.8
华纳兄弟的恐怖片时代; 评分: 暂无评分
最近最远的你; 评分: 暂无评分
一个明星的诞生; 评分: 7.7
摩天营救; 评分: 9.1
007：幽灵党; 评分: 8.0
驯龙高手番外篇：龙的礼物; 评分: 7.0
狮子王2：辛巴的荣耀; 评分: 7.5
招魂3; 评分: 暂无评分
罗马假日; 评分: 9.1
春江花月夜; 评分: 暂无评分
凡人修仙传动画大电影; 评分: 暂无评分
乐高漫威超级英雄 黑豹：瓦坎达危机; 评分: 暂无评分
假面骑士Zi-O; 评分: 暂无评分
猪猪侠之英雄猪少年; 评分: 8.6
速度与激情2; 评分: 5.9
318号公路; 评分: 暂无评分
他其实没那么喜欢你; 评分: 8.1
放牛班的春天; 评分: 8.8
地久天长; 评分: 7.7
悬崖上的金鱼姬; 评分: 8.6
暴裂无声; 评分: 8.2
变形金刚：前传; 评分: 7.3
国礼; 评分: 暂无评分
泰迪熊; 评分: 8.1
欧洲攻略; 评分: 7.3
世界最大的影视城: 横店影视城; 评分: 6.7
